tstamp,temp,hum,light,co,no2,noise
20170214051500,20.08,31.63,0,1.17,147.71,55.19
20170214053000,20.23,31.17,0,1.17,147.36,53.31
20170214054500,19.84,31.33,0,1.17,147.33,50
20170214060000,19.91,30.81,0,1.17,147.28,56.70
20170214061500,20.20,29.86,0,1.17,146.87,55.03
20170214063000,20.36,29.39,0,1.17,146.77,59.63
20170214064500,19.97,29.58,0,1.17,146.88,54.39
20170214070000,19.71,29.96,0.29,1.17,147.40,50
20170214071500,19.48,30.23,3.16,1.17,147.17,59.65
20170214073000,19.37,30.72,3.14,1.17,147.19,54.43
20170214074500,19.88,29.86,3.31,1.17,146.65,63.89
20170214080000,20.18,29.59,3.35,1.17,146.69,65.69
20170214081500,20.05,30.23,3.27,1.17,147.51,55.42
20170214083000,20.17,30.03,3.31,1.17,147.94,55.40
20170214084500,19.92,30.87,3.22,1.17,148.72,50
20170214090000,19.35,32.37,3.56,1.17,152.32,57.45
20170214091500,21.79,29.49,3.64,1.17,151.55,55.29
20170214093000,24.83,25.76,3.76,1.17,146.22,50
20170214094500,24.05,27.37,3.72,1.17,146.48,50
20170214100000,22.95,29.50,3.66,1.17,149.46,50.40
20170214101500,23.47,29.35,3.88,1.17,150.44,50.55
20170214103000,24.31,28.49,4,1.17,148.49,55.17
20170214104500,23.41,30.25,4.39,1.17,148.38,50.97
20170214110000,23.23,31,4.35,1.17,150.63,58.09
20170214111500,23.25,31.65,4.31,1.17,150.52,56.19
20170214113000,23.24,32.26,4.25,1.17,151.36,50.85
20170214114500,23.65,31.90,4.07,1.17,150.68,56.53
20170214120000,23.63,32.21,4.01,1.17,150.76,60.44
20170214121500,23.27,33.16,4.46,1.17,150.24,52.61
20170214123000,22.84,34.29,4.02,1.17,151.08,59.08
20170214124500,22.75,34.85,3.68,1.17,152.31,65.95
20170214130000,23.62,33.70,3.46,1.17,151.86,65.39
20170214131500,23.58,33.95,4.12,1.17,152.31,58.09
20170214133000,23.34,34.33,5.64,1.17,153.05,51.31
20170214134500,23.23,34.51,4.33,1.17,153.13,52.59
20170214140000,23.13,34.69,5.13,1.17,154.52,62.35
20170214141500,23.34,34.42,5.37,1.17,153.63,59.92
20170214143000,23.75,33.73,6.81,1.17,152.79,55.33
20170214144500,23.46,34.42,6.63,1.17,152.78,54.05
20170214150000,23.43,34.81,5.09,1.17,153.73,55.62
20170214151500,23.17,35.45,4.15,1.17,150.89,52.76
20170214153000,22.48,35.96,4.02,1.17,148.92,52.28
20170214154500,22.14,36.09,3.71,1.17,148.92,62.95
